"Name","Length","DirectoryName","FullName","Extension"
"1984_21st_Century_Security_Surveillance_vs_the_Erosion_of_Freedom.wmv","201162230","D:\Documents\WindowsPowerShell\Scripts","D:\Documents\WindowsPowerShell\Scripts\1984_21st_Century_Security_Surveillance_vs_the_Erosion_of_Freedom.wmv",".wmv"
"IderaPowerShellPlusInstallationKit-x64.zip","38601231","D:\Documents\WindowsPowerShell\Scripts","D:\Documents\WindowsPowerShell\Scripts\IderaPowerShellPlusInstallationKit-x64.zip",".zip"
"IderaPowerShellPlusInstallationKit.zip","38857077","D:\Documents\WindowsPowerShell\Scripts","D:\Documents\WindowsPowerShell\Scripts\IderaPowerShellPlusInstallationKit.zip",".zip"
"IderaPowerShellPlusInstallationKit-x64.exe","38677880","D:\Documents\WindowsPowerShell\Scripts\Idera_PowerShellPlus","D:\Documents\WindowsPowerShell\Scripts\Idera_PowerShellPlus\IderaPowerShellPlusInstallationKit-x64.exe",".exe"
"IderaPowerShellPlusInstallationKit-x64.zip","38601231","D:\Documents\WindowsPowerShell\Scripts\Idera_PowerShellPlus","D:\Documents\WindowsPowerShell\Scripts\Idera_PowerShellPlus\IderaPowerShellPlusInstallationKit-x64.zip",".zip"
"IderaPowerShellPlusInstallationKit.exe","38933744","D:\Documents\WindowsPowerShell\Scripts\Idera_PowerShellPlus","D:\Documents\WindowsPowerShell\Scripts\Idera_PowerShellPlus\IderaPowerShellPlusInstallationKit.exe",".exe"
"IderaPowerShellPlusInstallationKit.zip","38857077","D:\Documents\WindowsPowerShell\Scripts\Idera_PowerShellPlus","D:\Documents\WindowsPowerShell\Scripts\Idera_PowerShellPlus\IderaPowerShellPlusInstallationKit.zip",".zip"
"Config.xml","13077769","D:\Documents\WindowsPowerShell\Scripts\powergui","D:\Documents\WindowsPowerShell\Scripts\powergui\Config.xml",".xml"
"Config.xml.back","13077769","D:\Documents\WindowsPowerShell\Scripts\powergui","D:\Documents\WindowsPowerShell\Scripts\powergui\Config.xml.back",".back"
"PresentationFramework.ps1","2167065","D:\Documents\WindowsPowerShell\Scripts\powergui\Add-ons\WPK\GeneratedControls","D:\Documents\WindowsPowerShell\Scripts\powergui\Add-ons\WPK\GeneratedControls\PresentationFramework.ps1",".ps1"
"MD5_Hash_generator.1.0.0.2.powerpack","1444580","D:\Documents\WindowsPowerShell\Scripts\powergui\PowerPacks","D:\Documents\WindowsPowerShell\Scripts\powergui\PowerPacks\MD5_Hash_generator.1.0.0.2.powerpack",".powerpack"
"Twitter.powerpack","6168459","D:\Documents\WindowsPowerShell\Scripts\powergui\PowerPacks","D:\Documents\WindowsPowerShell\Scripts\powergui\PowerPacks\Twitter.powerpack",".powerpack"
